Gene
ABAT
ACE
ACMSD
ADAR
ADK
AGRN
AGT
AHNAK
AICDA
ALCAM
AMPH
ANG
ANKH
APOB
APOE
APP
ARSI
ARVCF
ATM
ATOSA
BAALC
BAD
BCAM
BCCIP
BCHE
BCKDK
BICRA
BLNK
BMPER
BSG
BSN
CADPS
CAMKV
CANX
CATSPERB
CATSPERD
CBLC
CCKBR
CCNJL
CCNY
CDON
CENPE
CENPP
CHRNE
CKM
CLASRP
CLMN
CLNK
CLU
COBL
COLQ
CRADD
CRK
CTCF
CTIF
CTSB
CTSH
CYCS
DCAKD
DCC
DEDD
DEK
DEPTOR
DGKI
DGKQ
DGKZ
DHDDS
DMD
DNER
DRAIC
DRAXIN
DROSHA
DSCAM
DST
DTNB
DYM
EDNRB
EGFLAM
EGILA
EHHADH
ELL
ENAH
EPCAM
ERG
ESPNL
FARSB
FOSB
FST
GAK
GALM
GGACT
GHR
GMPR
GRAP
GRN
GULOP
HADHA
HBEGF
HRK
HYDIN
HYI
IDUA
IGH
ILRUN
INHCAP
IQCK
ITGAX
ITPKB
Intergenic
JHY
JUP
KALRN
KAZN
LCORL
LDLR
LGMN
LIMASI
LIPC
LIPG
LPXN
LRAT
LRBA
LSAMP
LTF
MACIR
MADD
MAF
MAILR
MAK
MAMSTR
MAPT
MAVS
MDK
MECOM
MEIKIN
MEIOSIN
MELK
MGMT
MLN
MLXIPL
MME
MOBP
MPDZ
MSRA
MTERF
MTRFR
MYCBP
MYCNUT
MYDGF
MYOCOS
NANP
NAPEPLD
NBAS
NELFA
NFIA
NFIB
NFIC
NFIX
NGRN
NINL
NPVF
NSF
NTM
NXN
OASL
OGA
OPLAH
OPTC
OTOF
PARN
PARVB
PAUPAR
PCCA
PCLAF
PCNT
PCNX
PEMT
PICALM
PILRA
PILRB
PLEC
POLG
POLN
PPIG
PRANCR
PRKCB
PRTG
PSD
PTPRD
PTPRF
PTPRG
PTPRJ
PTPRO
PTPRS
PVR
QKI
QKILA
RAPSN
RARB
RDX
RELB
RELN
RERE
RERG
RERGL
RET
RHOA
RHOH
RORA
SAMMSON
SCAPER
SCIMP
SELENOO
SELO
SELP
SETX
SFSWAP
SHARPIN
SHE
SLMAP
SMILR
SNRK
SORD
SPEN
SRC
STRADA
STYX
SYBU
SYK
SYMPK
SYNPR
TECTA
TESC
TFEB
TNXB
TRAIP
TRDN
TREM
TRH
TRIQK
TRMO
UNK
URAHP
VASP
VLDLR
VRTN
WAC
WDPCP
WWOX
YDJC
ZAN
ZFAT
ZFTA
ZPBP
ZYX
intergenic
