Gene
AKNA
APOE
BCKDHB
BPTF
CAST
DYSF
FHIT
FTO
FYN
GC
GCKR
GPAM
GZMB
HFE
HHIP
INSR
Intergenic
LEP
LEPR
LEPROT
LPL
LSS
MET
MTTP
NCAN
NFIC
NGF
PALLD
PARVB
PIGC
PPARG
PRKCD
PTPRD
PTPRU
PZP
RPTOR
SCGN
TNR
XDH
intergenic
